 0.3875,0.1625,0.7625
 0.3125,0.1875,0.7625
 0.3375,0.1875,0.7625
 0.3625,0.1875,0.7625
 0.3875,0.1875,0.7625
 0.3125,0.1125,0.7875
 0.3375,0.1125,0.7875
 0.3625,0.1125,0.7875
 0.3875,0.1125,0.7875
 0.3125,0.1375,0.7875
 0.3375,0.1375,0.7875
 0.3625,0.1375,0.7875
 0.3875,0.1375,0.7875
 0.3125,0.1625,0.7875
 0.3375,0.1625,0.7875
 0.3625,0.1625,0.7875
 0.3875,0.1625,0.7875
 0.3125,0.1875,0.7875
 0.3375,0.1875,0.7875
 0.3625,0.1875,0.7875
 0.3875,0.1875,0.7875
 0.3125,0.2125,0.7125
 0.3375,0.2125,0.7125
 0.3625,0.2125,0.7125
 0.3875,0.2125,0.7125
 0.3125,0.2375,0.7125
 0.3375,0.2375,0.7125
 0.3625,0.2375,0.7125
 0.3875,0.2375,0.7125
 0.3125,0.2625,0.7125
 0.3375,0.2625,0.7125
 0.3625,0.2625,0.7125
 0.3875,0.2625,0.7125
 0.3125,0.2875,0.7125
 0.3375,0.2875,0.7125
 0.3625,0.2875,0.7125
 0.3875,0.2875,0.7125
 0.3125,0.2125,0.7375
 0.3375,0.2125,0.7375
 0.3625,0.2125,0.7375
 0.3875,0.2125,0.7375
 0.3125,0.2375,0.7375
 0.3375,0.2375,0.7375
 0.3625,0.2375,0.7375
 0.3875,0.2375,0.7375
 0.3125,0.2625,0.7375
 0.3375,0.2625,0.7375
 0.3625,0.2625,0.7375
 0.3875,0.2625,0.7375
 0.3125,0.2875,0.7375
 0.3375,0.2875,0.7375
 0.3625,0.2875,0.7375
 0.3875,0.2875,0.7375
 0.3125,0.2125,0.7625
 0.3375,0.2125,0.7625
 0.3625,0.2125,0.7625
 0.3875,0.2125,0.7625
 0.3125,0.2375,0.7625
 0.3375,0.2375,0.7625
 0.3625,0.2375,0.7625
 0.3875,0.2375,0.7625
 0.3125,0.2625,0.7625
 0.3375,0.2625,0.7625
 0.3625,0.2625,0.7625
 0.3875,0.2625,0.7625
 0.3125,0.2875,0.7625
 0.3375,0.2875,0.7625
 0.3625,0.2875,0.7625
 0.3875,0.2875,0.7625
 0.3125,0.2125,0.7875
 0.3375,0.2125,0.7875
 0.3625,0.2125,0.7875
 0.3875,0.2125,0.7875
 0.3125,0.2375,0.7875
 0.3375,0.2375,0.7875
 0.3625,0.2375,0.7875
 0.3875,0.2375,0.7875
 0.3125,0.2625,0.7875
 0.3375,0.2625,0.7875
 0.3625,0.2625,0.7875
 0.3875,0.2625,0.7875
 0.3125,0.2875,0.7875
 0.3375,0.2875,0.7875
 0.3625,0.2875,0.7875
 0.3875,0.2875,0.7875
 0.4125,0.2125,0.7125
 0.4375,0.2125,0.7125
 0.4625,0.2125,0.7125
 0.4875,0.2125,0.7125
 0.4125,0.2375,0.7125
 0.4375,0.2375,0.7125
 0.4625,0.2375,0.7125
 0.4875,0.2375,0.7125
 0.4125,0.2625,0.7125
 0.4375,0.2625,0.7125
 0.4625,0.2625,0.7125
 0.4875,0.2625,0.7125
 0.4125,0.2875,0.7125
 0.4375,0.2875,0.7125
 0.4625,0.2875,0.7125
 0.4875,0.2875,0.7125
 0.4125,0.2125,0.7375
 0.4375,0.2125,0.7375
 0.4625,0.2125,0.7375
 0.4875,0.2125,0.7375
 0.4125,0.2375,0.7375
 0.4375,0.2375,0.7375
 0.4625,0.2375,0.7375
 0.4875,0.2375,0.7375
 0.4125,0.2625,0.7375
 0.4375,0.2625,0.7375
 0.4625,0.2625,0.7375
 0.4875,0.2625,0.7375
 0.4125,0.2875,0.7375
 0.4375,0.2875,0.7375
 0.4625,0.2875,0.7375
 0.4875,0.2875,0.7375
 0.4125,0.2125,0.7625
 0.4375,0.2125,0.7625
 0.4625,0.2125,0.7625
 0.4875,0.2125,0.7625
 0.4125,0.2375,0.7625
 0.4375,0.2375,0.7625
 0.4625,0.2375,0.7625
 0.4875,0.2375,0.7625
 0.4125,0.2625,0.7625
 0.4375,0.2625,0.7625
 0.4625,0.2625,0.7625
 0.4875,0.2625,0.7625
 0.4125,0.2875,0.7625
 0.4375,0.2875,0.7625
 0.4625,0.2875,0.7625
 0.4875,0.2875,0.7625
 0.4125,0.2125,0.7875
 0.4375,0.2125,0.7875
 0.4625,0.2125,0.7875
 0.4875,0.2125,0.7875
 0.4125,0.2375,0.7875
 0.4375,0.2375,0.7875
 0.4625,0.2375,0.7875
 0.4875,0.2375,0.7875
 0.4125,0.2625,0.7875
 0.4375,0.2625,0.7875
 0.4625,0.2625,0.7875
 0.4875,0.2625,0.7875
 0.4125,0.2875,0.7875
 0.4375,0.2875,0.7875
 0.4625,0.2875,0.7875
 0.4875,0.2875,0.7875
 0.5125,0.2125,0.7125
 0.5375,0.2125,0.7125
 0.5625,0.2125,0.7125
 0.5875,0.2125,0.7125
 0.5125,0.2375,0.7125
 0.5375,0.2375,0.7125
 0.5625,0.2375,0.7125
 0.5875,0.2375,0.7125
 0.5125,0.2625,0.7125
 0.5375,0.2625,0.7125
 0.5625,0.2625,0.7125
 0.5875,0.2625,0.7125
 0.5125,0.2875,0.7125
 0.5375,0.2875,0.7125
 0.5625,0.2875,0.7125
 0.5875,0.2875,0.7125
 0.5125,0.2125,0.7375
 0.5375,0.2125,0.7375
 0.5625,0.2125,0.7375
 0.5875,0.2125,0.7375
 0.5125,0.2375,0.7375
 0.5375,0.2375,0.7375
 0.5625,0.2375,0.7375
 0.5875,0.2375,0.7375
 0.5125,0.2625,0.7375
 0.5375,0.2625,0.7375
 0.5625,0.2625,0.7375
 0.5875,0.2625,0.7375
 0.5125,0.2875,0.7375
 0.5375,0.2875,0.7375
 0.5625,0.2875,0.7375
 0.5875,0.2875,0.7375
 0.5125,0.2125,0.7625
 0.5375,0.2125,0.7625
 0.5625,0.2125,0.7625
 0.5875,0.2125,0.7625
 0.5125,0.2375,0.7625
 0.5375,0.2375,0.7625
 0.5625,0.2375,0.7625
 0.5875,0.2375,0.7625
 0.5125,0.2625,0.7625
 0.5375,0.2625,0.7625
 0.5625,0.2625,0.7625
 0.5875,0.2625,0.7625
 0.5125,0.2875,0.7625
 0.5375,0.2875,0.7625
 0.5625,0.2875,0.7625
 0.5875,0.2875,0.7625
 0.5125,0.2125,0.7875
 0.5375,0.2125,0.7875
 0.5625,0.2125,0.7875
 0.5875,0.2125,0.7875
 0.5125,0.2375,0.7875
 0.5375,0.2375,0.7875
 0.5625,0.2375,0.7875
 0.5875,0.2375,0.7875
 0.5125,0.2625,0.7875
 0.5375,0.2625,0.7875
 0.5625,0.2625,0.7875
 0.5875,0.2625,0.7875
 0.5125,0.2875,0.7875
 0.5375,0.2875,0.7875
 0.5625,0.2875,0.7875
 0.5875,0.2875,0.7875
 0.3125,0.3125,0.7125
 0.3375,0.3125,0.7125
 0.3625,0.3125,0.7125
 0.3875,0.3125,0.7125
 0.3125,0.3375,0.7125
 0.3375,0.3375,0.7125
 0.3625,0.3375,0.7125
 0.3875,0.3375,0.7125
 0.3125,0.3625,0.7125
 0.3375,0.3625,0.7125
 0.3625,0.3625,0.7125
 0.3875,0.3625,0.7125
 0.3125,0.3875,0.7125
 0.3375,0.3875,0.7125
 0.3625,0.3875,0.7125
 0.3875,0.3875,0.7125
 0.3125,0.3125,0.7375
 0.3375,0.3125,0.7375
 0.3625,0.3125,0.7375
 0.3875,0.3125,0.7375
 0.3125,0.3375,0.7375
 0.3375,0.3375,0.7375
 0.3625,0.3375,0.7375
 0.3875,0.3375,0.7375
 0.3125,0.3625,0.7375
 0.3375,0.3625,0.7375
 0.3625,0.3625,0.7375
 0.3875,0.3625,0.7375
 0.3125,0.3875,0.7375
 0.3375,0.3875,0.7375
 0.3625,0.3875,0.7375
 0.3875,0.3875,0.7375
 0.3125,0.3125,0.7625
 0.3375,0.3125,0.7625
 0.3625,0.3125,0.7625
 0.3875,0.3125,0.7625
 0.3125,0.3375,0.7625
 0.3375,0.3375,0.7625
 0.3625,0.3375,0.7625
 0.3875,0.3375,0.7625
 0.3125,0.3625,0.7625
 0.3375,0.3625,0.7625
 0.3625,0.3625,0.7625
 0.3875,0.3625,0.7625
 0.3125,0.3875,0.7625
 0.3375,0.3875,0.7625
 0.3625,0.3875,0.7625
 0.3875,0.3875,0.7625
 0.3125,0.3125,0.7875
 0.3375,0.3125,0.7875
 0.3625,0.3125,0.7875
 0.3875,0.3125,0.7875
 0.3125,0.3375,0.7875
 0.3375,0.3375,0.7875
 0.3625,0.3375,0.7875
 0.3875,0.3375,0.7875
 0.3125,0.3625,0.7875
 0.3375,0.3625,0.7875
 0.3625,0.3625,0.7875
 0.3875,0.3625,0.7875
 0.3125,0.3875,0.7875
 0.3375,0.3875,0.7875
 0.3625,0.3875,0.7875
 0.3875,0.3875,0.7875
 0.6125,0.5125,0.7125
 0.6375,0.5125,0.7125
 0.6625,0.5125,0.7125
 0.6875,0.5125,0.7125
 0.6125,0.5375,0.7125
 0.6375,0.5375,0.7125
 0.6625,0.5375,0.7125
 0.6875,0.5375,0.7125
 0.6125,0.5625,0.7125
 0.6375,0.5625,0.7125
 0.6625,0.5625,0.7125
 0.6875,0.5625,0.7125
 0.6125,0.5875,0.7125
 0.6375,0.5875,0.7125
 0.6625,0.5875,0.7125
 0.6875,0.5875,0.7125
 0.6125,0.5125,0.7375
 0.6375,0.5125,0.7375
 0.6625,0.5125,0.7375
 0.6875,0.5125,0.7375
 0.6125,0.5375,0.7375
 0.6375,0.5375,0.7375
 0.6625,0.5375,0.7375
 0.6875,0.5375,0.7375
 0.6125,0.5625,0.7375
 0.6375,0.5625,0.7375
 0.6625,0.5625,0.7375
 0.6875,0.5625,0.7375
 0.6125,0.5875,0.7375
 0.6375,0.5875,0.7375
 0.6625,0.5875,0.7375
 0.6875,0.5875,0.7375
 0.6125,0.5125,0.7625
 0.6375,0.5125,0.7625
 0.6625,0.5125,0.7625
 0.6875,0.5125,0.7625
 0.6125,0.5375,0.7625
 0.6375,0.5375,0.7625
 0.6625,0.5375,0.7625
 0.6875,0.5375,0.7625
 0.6125,0.5625,0.7625
 0.6375,0.5625,0.7625
 0.6625,0.5625,0.7625
 0.6875,0.5625,0.7625
 0.6125,0.5875,0.7625
 0.6375,0.5875,0.7625
 0.6625,0.5875,0.7625
 0.6875,0.5875,0.7625
 0.6125,0.5125,0.7875
 0.6375,0.5125,0.7875
 0.6625,0.5125,0.7875
 0.6875,0.5125,0.7875
 0.6125,0.5375,0.7875
 0.6375,0.5375,0.7875
 0.6625,0.5375,0.7875
 0.6875,0.5375,0.7875
 0.6125,0.5625,0.7875
 0.6375,0.5625,0.7875
 0.6625,0.5625,0.7875
 0.6875,0.5625,0.7875
 0.6125,0.5875,0.7875
 0.6375,0.5875,0.7875
 0.6625,0.5875,0.7875
 0.6875,0.5875,0.7875
 0.5125,0.6125,0.7125
 0.5375,0.6125,0.7125
 0.5625,0.6125,0.7125
 0.5875,0.6125,0.7125
 0.5125,0.6375,0.7125
 0.5375,0.6375,0.7125
 0.5625,0.6375,0.7125
 0.5875,0.6375,0.7125
 0.5125,0.6625,0.7125
 0.5375,0.6625,0.7125
 0.5625,0.6625,0.7125
 0.5875,0.6625,0.7125
 0.5125,0.6875,0.7125
 0.5375,0.6875,0.7125
 0.5625,0.6875,0.7125
 0.5875,0.6875,0.7125
 0.5125,0.6125,0.7375
 0.5375,0.6125,0.7375
 0.5625,0.6125,0.7375
 0.5875,0.6125,0.7375
 0.5125,0.6375,0.7375
 0.5375,0.6375,0.7375
 0.5625,0.6375,0.7375
 0.5875,0.6375,0.7375
 0.5125,0.6625,0.7375
 0.5375,0.6625,0.7375
 0.5625,0.6625,0.7375
 0.5875,0.6625,0.7375
 0.5125,0.6875,0.7375
 0.5375,0.6875,0.7375
 0.5625,0.6875,0.7375
 0.5875,0.6875,0.7375
 0.5125,0.6125,0.7625
 0.5375,0.6125,0.7625
 0.5625,0.6125,0.7625
 0.5875,0.6125,0.7625
 0.5125,0.6375,0.7625
 0.5375,0.6375,0.7625
 0.5625,0.6375,0.7625
 0.5875,0.6375,0.7625
 0.5125,0.6625,0.7625
 0.5375,0.6625,0.7625
 0.5625,0.6625,0.7625
 0.5875,0.6625,0.7625
 0.5125,0.6875,0.7625
 0.5375,0.6875,0.7625
 0.5625,0.6875,0.7625
 0.5875,0.6875,0.7625
 0.5125,0.6125,0.7875
 0.5375,0.6125,0.7875
 0.5625,0.6125,0.7875
 0.5875,0.6125,0.7875
 0.5125,0.6375,0.7875
 0.5375,0.6375,0.7875
 0.5625,0.6375,0.7875
 0.5875,0.6375,0.7875
 0.5125,0.6625,0.7875
 0.5375,0.6625,0.7875
 0.5625,0.6625,0.7875
 0.5875,0.6625,0.7875
 0.5125,0.6875,0.7875
 0.5375,0.6875,0.7875
 0.5625,0.6875,0.7875
 0.5875,0.6875,0.7875
 0.6125,0.6125,0.7125
 0.6375,0.6125,0.7125
 0.6625,0.6125,0.7125
 0.6875,0.6125,0.7125
 0.6125,0.6375,0.7125
 0.6375,0.6375,0.7125
 0.6625,0.6375,0.7125
 0.6875,0.6375,0.7125
 0.6125,0.6625,0.7125
 0.6375,0.6625,0.7125
 0.6625,0.6625,0.7125
 0.6875,0.6625,0.7125
 0.6125,0.6875,0.7125
 0.6375,0.6875,0.7125
 0.6625,0.6875,0.7125
 0.6875,0.6875,0.7125
 0.6125,0.6125,0.7375
 0.6375,0.6125,0.7375
 0.6625,0.6125,0.7375
 0.6875,0.6125,0.7375
 0.6125,0.6375,0.7375
 0.6375,0.6375,0.7375
 0.6625,0.6375,0.7375
 0.6875,0.6375,0.7375
 0.6125,0.6625,0.7375
 0.6375,0.6625,0.7375
 0.6625,0.6625,0.7375
 0.6875,0.6625,0.7375
 0.6125,0.6875,0.7375
 0.6375,0.6875,0.7375
 0.6625,0.6875,0.7375
 0.6875,0.6875,0.7375
 0.6125,0.6125,0.7625
 0.6375,0.6125,0.7625
 0.6625,0.6125,0.7625
 0.6875,0.6125,0.7625
 0.6125,0.6375,0.7625
 0.6375,0.6375,0.7625
 0.6625,0.6375,0.7625
 0.6875,0.6375,0.7625
 0.6125,0.6625,0.7625
 0.6375,0.6625,0.7625
 0.6625,0.6625,0.7625
 0.6875,0.6625,0.7625
 0.6125,0.6875,0.7625
 0.6375,0.6875,0.7625
 0.6625,0.6875,0.7625
 0.6875,0.6875,0.7625
 0.6125,0.6125,0.7875
 0.6375,0.6125,0.7875
 0.6625,0.6125,0.7875
 0.6875,0.6125,0.7875
 0.6125,0.6375,0.7875
 0.6375,0.6375,0.7875
 0.6625,0.6375,0.7875
 0.6875,0.6375,0.7875
 0.6125,0.6625,0.7875
 0.6375,0.6625,0.7875
 0.6625,0.6625,0.7875
 0.6875,0.6625,0.7875
 0.6125,0.6875,0.7875
 0.6375,0.6875,0.7875
 0.6625,0.6875,0.7875
 0.6875,0.6875,0.7875
 0.2125,0.2125,0.8125
 0.2375,0.2125,0.8125
 0.2625,0.2125,0.8125
 0.2875,0.2125,0.8125
 0.2125,0.2375,0.8125
 0.2375,0.2375,0.8125
 0.2625,0.2375,0.8125
 0.2875,0.2375,0.8125
 0.2125,0.2625,0.8125
 0.2375,0.2625,0.8125
 0.2625,0.2625,0.8125
 0.2875,0.2625,0.8125
 0.2125,0.2875,0.8125
 0.2375,0.2875,0.8125
 0.2625,0.2875,0.8125
 0.2875,0.2875,0.8125
 0.2125,0.2125,0.8375
 0.2375,0.2125,0.8375
 0.2625,0.2125,0.8375
 0.2875,0.2125,0.8375
 0.2125,0.2375,0.8375
 0.2375,0.2375,0.8375
 0.2625,0.2375,0.8375
 0.2875,0.2375,0.8375
 0.2125,0.2625,0.8375
 0.2375,0.2625,0.8375
 0.2625,0.2625,0.8375
 0.2875,0.2625,0.8375
 0.2125,0.2875,0.8375
 0.2375,0.2875,0.8375
 0.2625,0.2875,0.8375
 0.2875,0.2875,0.8375
 0.2125,0.2125,0.8625
 0.2375,0.2125,0.8625
 0.2625,0.2125,0.8625
 0.2875,0.2125,0.8625
 0.2125,0.2375,0.8625
 0.2375,0.2375,0.8625
 0.2625,0.2375,0.8625
 0.2875,0.2375,0.8625
 0.2125,0.2625,0.8625
 0.2375,0.2625,0.8625
 0.2625,0.2625,0.8625
 0.2875,0.2625,0.8625
 0.2125,0.2875,0.8625
 0.2375,0.2875,0.8625
 0.2625,0.2875,0.8625
 0.2875,0.2875,0.8625
 0.2125,0.2125,0.8875
 0.2375,0.2125,0.8875
 0.2625,0.2125,0.8875
 0.2875,0.2125,0.8875
 0.2125,0.2375,0.8875
 0.2375,0.2375,0.8875
 0.2625,0.2375,0.8875
 0.2875,0.2375,0.8875
 0.2125,0.2625,0.8875
 0.2375,0.2625,0.8875
 0.2625,0.2625,0.8875
 0.2875,0.2625,0.8875
 0.2125,0.2875,0.8875
 0.2375,0.2875,0.8875
 0.2625,0.2875,0.8875
 0.2875,0.2875,0.8875
 0.3125,0.2125,0.8125
 0.3375,0.2125,0.8125
 0.3625,0.2125,0.8125
 0.3875,0.2125,0.8125
 0.3125,0.2375,0.8125
 0.3375,0.2375,0.8125
 0.3625,0.2375,0.8125
 0.3875,0.2375,0.8125
 0.3125,0.2625,0.8125
 0.3375,0.2625,0.8125
 0.3625,0.2625,0.8125
 0.3875,0.2625,0.8125
 0.3125,0.2875,0.8125
 0.3375,0.2875,0.8125
 0.3625,0.2875,0.8125
 0.3875,0.2875,0.8125
 0.3125,0.2125,0.8375
 0.3375,0.2125,0.8375
 0.3625,0.2125,0.8375
 0.3875,0.2125,0.8375
 0.3125,0.2375,0.8375
 0.3375,0.2375,0.8375
 0.3625,0.2375,0.8375
 0.3875,0.2375,0.8375
 0.3125,0.2625,0.8375
 0.3375,0.2625,0.8375
 0.3625,0.2625,0.8375
 0.3875,0.2625,0.8375
 0.3125,0.2875,0.8375
 0.3375,0.2875,0.8375
 0.3625,0.2875,0.8375
 0.3875,0.2875,0.8375
 0.3125,0.2125,0.8625
 0.3375,0.2125,0.8625
 0.3625,0.2125,0.8625
 0.3875,0.2125,0.8625
 0.3125,0.2375,0.8625
 0.3375,0.2375,0.8625
 0.3625,0.2375,0.8625
 0.3875,0.2375,0.8625
 0.3125,0.2625,0.8625
 0.3375,0.2625,0.8625
 0.3625,0.2625,0.8625
 0.3875,0.2625,0.8625
 0.3125,0.2875,0.8625
 0.3375,0.2875,0.8625
 0.3625,0.2875,0.8625
 0.3875,0.2875,0.8625
 0.3125,0.2125,0.8875
 0.3375,0.2125,0.8875
 0.3625,0.2125,0.8875
 0.3875,0.2125,0.8875
 0.3125,0.2375,0.8875
 0.3375,0.2375,0.8875
 0.3625,0.2375,0.8875
 0.3875,0.2375,0.8875
 0.3125,0.2625,0.8875
 0.3375,0.2625,0.8875
 0.3625,0.2625,0.8875
 0.3875,0.2625,0.8875
 0.3125,0.2875,0.8875
 0.3375,0.2875,0.8875
 0.3625,0.2875,0.8875
 0.3875,0.2875,0.8875
 0.3125,0.6125,0.8125
 0.3375,0.6125,0.8125
 0.3625,0.6125,0.8125
 0.3875,0.6125,0.8125
 0.3125,0.6375,0.8125
 0.3375,0.6375,0.8125
 0.3625,0.6375,0.8125
 0.3875,0.6375,0.8125
 0.3125,0.6625,0.8125
 0.3375,0.6625,0.8125
 0.3625,0.6625,0.8125
 0.3875,0.6625,0.8125
 0.3125,0.6875,0.8125
 0.3375,0.6875,0.8125
 0.3625,0.6875,0.8125
 0.3875,0.6875,0.8125
 0.3125,0.6125,0.8375
 0.3375,0.6125,0.8375
 0.3625,0.6125,0.8375
 0.3875,0.6125,0.8375
 0.3125,0.6375,0.8375
 0.3375,0.6375,0.8375
 0.3625,0.6375,0.8375
 0.3875,0.6375,0.8375
 0.3125,0.6625,0.8375
 0.3375,0.6625,0.8375
 0.3625,0.6625,0.8375
 0.3875,0.6625,0.8375
 0.3125,0.6875,0.8375
 0.3375,0.6875,0.8375
 0.3625,0.6875,0.8375
 0.3875,0.6875,0.8375
 0.3125,0.6125,0.8625
 0.3375,0.6125,0.8625
 0.3625,0.6125,0.8625
 0.3875,0.6125,0.8625
 0.3125,0.6375,0.8625
 0.3375,0.6375,0.8625
 0.3625,0.6375,0.8625
 0.3875,0.6375,0.8625
 0.3125,0.6625,0.8625
 0.3375,0.6625,0.8625
 0.3625,0.6625,0.8625
 0.3875,0.6625,0.8625
 0.3125,0.6875,0.8625
 0.3375,0.6875,0.8625
 0.3625,0.6875,0.8625
 0.3875,0.6875,0.8625
 0.3125,0.6125,0.8875
 0.3375,0.6125,0.8875
 0.3625,0.6125,0.8875
 0.3875,0.6125,0.8875
 0.3125,0.6375,0.8875
 0.3375,0.6375,0.8875
 0.3625,0.6375,0.8875
 0.3875,0.6375,0.8875
 0.3125,0.6625,0.8875
 0.3375,0.6625,0.8875
 0.3625,0.6625,0.8875
 0.3875,0.6625,0.8875
 0.3125,0.6875,0.8875
 0.3375,0.6875,0.8875
 0.3625,0.6875,0.8875
 0.3875,0.6875,0.8875
 0.4125,0.6125,0.8125
 0.4375,0.6125,0.8125
 0.4625,0.6125,0.8125
 0.4875,0.6125,0.8125
 0.4125,0.6375,0.8125
 0.4375,0.6375,0.8125
 0.4625,0.6375,0.8125
 0.4875,0.6375,0.8125
 0.4125,0.6625,0.8125
 0.4375,0.6625,0.8125
 0.4625,0.6625,0.8125
 0.4875,0.6625,0.8125
 0.4125,0.6875,0.8125
 0.4375,0.6875,0.8125
 0.4625,0.6875,0.8125
 0.4875,0.6875,0.8125
 0.4125,0.6125,0.8375
 0.4375,0.6125,0.8375
 0.4625,0.6125,0.8375
 0.4875,0.6125,0.8375
 0.4125,0.6375,0.8375
 0.4375,0.6375,0.8375
 0.4625,0.6375,0.8375
 0.4875,0.6375,0.8375
 0.4125,0.6625,0.8375
 0.4375,0.6625,0.8375
 0.4625,0.6625,0.8375
 0.4875,0.6625,0.8375
 0.4125,0.6875,0.8375
 0.4375,0.6875,0.8375
 0.4625,0.6875,0.8375
 0.4875,0.6875,0.8375
 0.4125,0.6125,0.8625
 0.4375,0.6125,0.8625
 0.4625,0.6125,0.8625
 0.4875,0.6125,0.8625
 0.4125,0.6375,0.8625
 0.4375,0.6375,0.8625
 0.4625,0.6375,0.8625
 0.4875,0.6375,0.8625
 0.4125,0.6625,0.8625
 0.4375,0.6625,0.8625
 0.4625,0.6625,0.8625
 0.4875,0.6625,0.8625
 0.4125,0.6875,0.8625
 0.4375,0.6875,0.8625
 0.4625,0.6875,0.8625
 0.4875,0.6875,0.8625
 0.4125,0.6125,0.8875
 0.4375,0.6125,0.8875
 0.4625,0.6125,0.8875
 0.4875,0.6125,0.8875
 0.4125,0.6375,0.8875
 0.4375,0.6375,0.8875
 0.4625,0.6375,0.8875
 0.4875,0.6375,0.8875
 0.4125,0.6625,0.8875
 0.4375,0.6625,0.8875
 0.4625,0.6625,0.8875
 0.4875,0.6625,0.8875
 0.4125,0.6875,0.8875
 0.4375,0.6875,0.8875
 0.4625,0.6875,0.8875
 0.4875,0.6875,0.8875
 0.5125,0.6125,0.8125
 0.5375,0.6125,0.8125
 0.5625,0.6125,0.8125
 0.5875,0.6125,0.8125
 0.5125,0.6375,0.8125
 0.5375,0.6375,0.8125
 0.5625,0.6375,0.8125
 0.5875,0.6375,0.8125
 0.5125,0.6625,0.8125
 0.5375,0.6625,0.8125
 0.5625,0.6625,0.8125
 0.5875,0.6625,0.8125
 0.5125,0.6875,0.8125
 0.5375,0.6875,0.8125
 0.5625,0.6875,0.8125
 0.5875,0.6875,0.8125
 0.5125,0.6125,0.8375
 0.5375,0.6125,0.8375
 0.5625,0.6125,0.8375
 0.5875,0.6125,0.8375
 0.5125,0.6375,0.8375
 0.5375,0.6375,0.8375
 0.5625,0.6375,0.8375
 0.5875,0.6375,0.8375
 0.5125,0.6625,0.8375
 0.5375,0.6625,0.8375
 0.5625,0.6625,0.8375
 0.5875,0.6625,0.8375
 0.5125,0.6875,0.8375
 0.5375,0.6875,0.8375
 0.5625,0.6875,0.8375
 0.5875,0.6875,0.8375
 0.5125,0.6125,0.8625
 0.5375,0.6125,0.8625
 0.5625,0.6125,0.8625
 0.5875,0.6125,0.8625
 0.5125,0.6375,0.8625
 0.5375,0.6375,0.8625
 0.5625,0.6375,0.8625
 0.5875,0.6375,0.8625
 0.5125,0.6625,0.8625
 0.5375,0.6625,0.8625
 0.5625,0.6625,0.8625
 0.5875,0.6625,0.8625
 0.5125,0.6875,0.8625
 0.5375,0.6875,0.8625
 0.5625,0.6875,0.8625
 0.5875,0.6875,0.8625
 0.5125,0.6125,0.8875
 0.5375,0.6125,0.8875
 0.5625,0.6125,0.8875
 0.5875,0.6125,0.8875
 0.5125,0.6375,0.8875
 0.5375,0.6375,0.8875
 0.5625,0.6375,0.8875
 0.5875,0.6375,0.8875
 0.5125,0.6625,0.8875
 0.5375,0.6625,0.8875
 0.5625,0.6625,0.8875
 0.5875,0.6625,0.8875
 0.5125,0.6875,0.8875
 0.5375,0.6875,0.8875
 0.5625,0.6875,0.8875
 0.5875,0.6875,0.8875
 0.4125,0.7125,0.8125
 0.4375,0.7125,0.8125
 0.4625,0.7125,0.8125
 0.4875,0.7125,0.8125
 0.4125,0.7375,0.8125
 0.4375,0.7375,0.8125
 0.4625,0.7375,0.8125
 0.4875,0.7375,0.8125
 0.4125,0.7625,0.8125
 0.4375,0.7625,0.8125
 0.4625,0.7625,0.8125
 0.4875,0.7625,0.8125
 0.4125,0.7875,0.8125
 0.4375,0.7875,0.8125
 0.4625,0.7875,0.8125
 0.4875,0.7875,0.8125
 0.4125,0.7125,0.8375
 0.4375,0.7125,0.8375
 0.4625,0.7125,0.8375
 0.4875,0.7125,0.8375
 0.4125,0.7375,0.8375
 0.4375,0.7375,0.8375
 0.4625,0.7375,0.8375
 0.4875,0.7375,0.8375
 0.4125,0.7625,0.8375
 0.4375,0.7625,0.8375
 0.4625,0.7625,0.8375
 0.4875,0.7625,0.8375
 0.4125,0.7875,0.8375
 0.4375,0.7875,0.8375
 0.4625,0.7875,0.8375
 0.4875,0.7875,0.8375
 0.4125,0.7125,0.8625
 0.4375,0.7125,0.8625
 0.4625,0.7125,0.8625
 0.4875,0.7125,0.8625
 0.4125,0.7375,0.8625
 0.4375,0.7375,0.8625
 0.4625,0.7375,0.8625
 0.4875,0.7375,0.8625
 0.4125,0.7625,0.8625
 0.4375,0.7625,0.8625
 0.4625,0.7625,0.8625
 0.4875,0.7625,0.8625
 0.4125,0.7875,0.8625
 0.4375,0.7875,0.8625
 0.4625,0.7875,0.8625
 0.4875,0.7875,0.8625
 0.4125,0.7125,0.8875
 0.4375,0.7125,0.8875
 0.4625,0.7125,0.8875
 0.4875,0.7125,0.8875
 0.4125,0.7375,0.8875
 0.4375,0.7375,0.8875
 0.4625,0.7375,0.8875
 0.4875,0.7375,0.8875
 0.4125,0.7625,0.8875
 0.4375,0.7625,0.8875
 0.4625,0.7625,0.8875
 0.4875,0.7625,0.8875
 0.4125,0.7875,0.8875
 0.4375,0.7875,0.8875
 0.4625,0.7875,0.8875
 0.4875,0.7875,0.8875
 0.1125,0.6125,0.9125
 0.1375,0.6125,0.9125
 0.1625,0.6125,0.9125
 0.1875,0.6125,0.9125
 0.1125,0.6375,0.9125
 0.1375,0.6375,0.9125
 0.1625,0.6375,0.9125
 0.1875,0.6375,0.9125
 0.1125,0.6625,0.9125
 0.1375,0.6625,0.9125
 0.1625,0.6625,0.9125
 0.1875,0.6625,0.9125
 0.1125,0.6875,0.9125
 0.1375,0.6875,0.9125
 0.1625,0.6875,0.9125
 0.1875,0.6875,0.9125
 0.1125,0.6125,0.9375
 0.1375,0.6125,0.9375
 0.1625,0.6125,0.9375
 0.1875,0.6125,0.9375
 0.1125,0.6375,0.9375
 0.1375,0.6375,0.9375
